time,throughput_mbps
6.5,1.38256
6.55,6.06208
6.6,5.89824
6.65,5.89824
6.7,6.22592
6.75,5.89824
6.8,6.06208
6.85,5.89824
6.9,5.89824
6.95,6.22592
7,5.89824
7.05,6.06208
7.1,5.89824
7.15,5.89824
7.2,6.22592
7.25,6.06208
7.3,5.89824
7.35,5.89824
7.4,5.89824
7.45,6.22592
7.5,6.06208
7.55,5.89824
7.6,5.89824
7.65,5.89824
7.7,6.22592
7.75,6.06208
7.8,5.89824
7.85,5.89824
7.9,6.22592
7.95,5.89824
8,6.06208
8.05,1.96608
8.1,5.7344
8.15,7.20896
8.2,6.88128
8.25,6.88128
8.3,7.04512
8.35,6.88128
8.4,7.20896
8.45,7.04512
8.5,6.71744
8.55,7.04512
8.6,6.88128
8.65,7.3728
8.7,6.88128
8.75,7.04512
8.8,6.88128
8.85,6.88128
8.9,7.20896
8.95,7.04512
9,6.88128
9.05,6.88128
9.1,6.88128
9.15,7.3728
9.2,6.88128
9.25,7.04512
9.3,6.88128
9.35,7.20896
9.4,6.88128
9.45,7.04512
9.5,6.88128
9.55,6.88128
9.6,7.3728
9.65,6.88128
9.7,6.88128
9.75,6.88128
9.8,7.04512
9.85,7.20896
9.9,7.04512
9.95,6.88128
10,6.88128
10.05,7.04512
10.1,7.20896
10.15,6.88128
10.2,6.88128
10.25,7.04512
10.3,6.88128
10.35,7.3728
10.4,6.88128
10.45,6.88128
10.5,6.88128
10.55,7.04512
10.6,7.20896
10.65,6.88128
10.7,7.04512
10.75,6.88128
10.8,7.20896
10.85,7.04512
10.9,6.88128
10.95,6.88128
11,7.04512
