time,throughput_mbps,path
6.5,0.460012,DU5->DU6->CU2
6.55,2.12992,DU5->DU6->CU2
6.6,1.96608,DU5->DU6->CU2
6.65,1.96608,DU5->DU6->CU2
6.7,1.96608,DU5->DU6->CU2
6.75,1.96608,DU5->DU6->CU2
6.8,2.12992,DU5->DU6->CU2
6.85,1.96608,DU5->DU6->CU2
6.9,1.96608,DU5->DU6->CU2
6.95,1.96608,DU5->DU6->CU2
7,1.96608,DU5->DU6->CU2
7.05,2.12992,DU5->DU6->CU2
7.1,1.96608,DU5->DU6->CU2
7.15,1.96608,DU5->DU6->CU2
7.2,1.96608,DU5->DU6->CU2
7.25,2.12992,DU5->DU6->CU2
7.3,1.96608,DU5->DU6->CU2
7.35,1.96608,DU5->DU6->CU2
7.4,1.96608,DU5->DU6->CU2
7.45,1.96608,DU5->DU6->CU2
7.5,2.12992,DU5->DU6->CU2
7.55,1.96608,DU5->DU6->CU2
7.6,1.96608,DU5->DU6->CU2
7.65,1.96608,DU5->DU6->CU2
7.7,1.96608,DU5->DU6->CU2
7.75,2.12992,DU5->DU6->CU2
7.8,1.96608,DU5->DU6->CU2
7.85,1.96608,DU5->DU6->CU2
7.9,1.96608,DU5->DU6->CU2
7.95,1.96608,DU5->DU6->CU2
8,2.12992,DU5->DU6->CU1
8.05,0,DU5->DU6->CU1
8.1,0,DU5->DU6->CU1
8.15,0,DU5->DU6->CU1
8.2,0,DU5->DU6->CU1
8.25,1.80224,DU5->DU6->CU1
8.3,2.12992,DU5->DU6->CU1
8.35,1.96608,DU5->DU6->CU1
8.4,1.96608,DU5->DU6->CU1
8.45,1.96608,DU5->DU6->CU1
8.5,2.12992,DU5->DU6->CU1
8.55,1.96608,DU5->DU6->CU1
8.6,1.96608,DU5->DU6->CU1
8.65,1.96608,DU5->DU6->CU1
8.7,2.12992,DU5->DU6->CU1
8.75,1.96608,DU5->DU6->CU1
8.8,1.96608,DU5->DU6->CU1
8.85,1.96608,DU5->DU6->CU1
8.9,1.96608,DU5->DU6->CU1
8.95,2.12992,DU5->DU6->CU1
9,1.80224,DU5->DU6->CU1
9.05,2.12992,DU5->DU6->CU1
9.1,1.96608,DU5->DU6->CU1
9.15,1.96608,DU5->DU6->CU1
9.2,2.12992,DU5->DU6->CU1
9.25,1.96608,DU5->DU6->CU1
9.3,1.96608,DU5->DU6->CU1
9.35,1.96608,DU5->DU6->CU1
9.4,1.96608,DU5->DU6->CU1
9.45,1.96608,DU5->DU6->CU1
9.5,2.12992,DU5->DU6->CU1
