time,throughput_mbps,path
6.5,1.61067,received@CU1
6.55,7.20896,received@CU1
6.6,7.04512,received@CU1
6.65,6.88128,received@CU1
6.7,7.04512,received@CU1
6.75,7.04512,received@CU1
6.8,7.04512,received@CU1
6.85,6.88128,received@CU1
6.9,7.04512,received@CU1
6.95,6.88128,received@CU1
7,7.04512,received@CU1
7.05,7.04512,received@CU1
7.1,7.04512,received@CU1
7.15,7.04512,received@CU1
7.2,7.04512,received@CU1
7.25,7.04512,received@CU1
7.3,6.88128,received@CU1
7.35,7.04512,received@CU1
7.4,6.88128,received@CU1
7.45,6.88128,received@CU1
7.5,7.04512,received@CU1
7.55,7.04512,received@CU1
7.6,7.04512,received@CU1
7.65,7.04512,received@CU1
7.7,7.04512,received@CU1
7.75,7.04512,received@CU1
7.8,7.04512,received@CU1
7.85,6.88128,received@CU1
7.9,6.88128,received@CU1
7.95,6.88128,received@CU1
8,7.20896,received@CU1
8.05,2.12992,received@CU1
8.1,4.096,received@CU1
8.15,5.89824,received@CU1
8.2,6.06208,received@CU1
8.25,5.89824,received@CU1
8.3,5.7344,received@CU1
8.35,6.22592,received@CU1
8.4,6.06208,received@CU1
8.45,6.06208,received@CU1
8.5,5.89824,received@CU1
8.55,5.89824,received@CU1
8.6,6.22592,received@CU1
8.65,6.06208,received@CU1
8.7,5.7344,received@CU1
8.75,6.06208,received@CU1
8.8,5.89824,received@CU1
8.85,6.06208,received@CU1
8.9,6.06208,received@CU1
8.95,6.06208,received@CU1
9,5.89824,received@CU1
9.05,6.22592,received@CU1
9.1,5.89824,received@CU1
9.15,5.7344,received@CU1
9.2,6.38976,received@CU1
9.25,5.57056,received@CU1
9.3,6.06208,received@CU1
9.35,6.22592,received@CU1
9.4,5.89824,received@CU1
9.45,5.89824,received@CU1
9.5,6.06208,received@CU1
9.55,6.06208,received@CU1
9.6,6.06208,received@CU1
9.65,5.89824,received@CU1
9.7,6.06208,received@CU1
9.75,6.22592,received@CU1
9.8,5.89824,received@CU1
9.85,5.7344,received@CU1
9.9,6.06208,received@CU1
9.95,6.22592,received@CU1
10,5.7344,received@CU1
10.05,5.89824,received@CU1
10.1,6.22592,received@CU1
10.15,6.06208,received@CU1
10.2,6.06208,received@CU1
10.25,5.7344,received@CU1
10.3,6.22592,received@CU1
10.35,5.89824,received@CU1
10.4,5.89824,received@CU1
10.45,6.06208,received@CU1
10.5,6.06208,received@CU1
10.55,6.06208,received@CU1
10.6,5.7344,received@CU1
10.65,6.38976,received@CU1
10.7,5.7344,received@CU1
10.75,5.89824,received@CU1
10.8,6.22592,received@CU1
10.85,5.89824,received@CU1
10.9,5.89824,received@CU1
10.95,6.06208,received@CU1
11,5.89824,received@CU1
